Date of Lead Publication,Imported By,Date Imported,Verification Status,Lead Id,Lead Title,Lead URL,Authoring Organizations Type,Author,Source,Lead Priority,Assignee,Entry Id,Lead-Entry Id,Modified Excerpt,Original Excerpt,Context - Dimension,Context - Subdimension,Population,Vulnerable groups - Level 0,Factors - Dimension,Factors - Subdimension,Malawi Polygons,Country,Country (code),District,District (code),Town,Town (code),Date,Reliability,Health Services - Dimension,Health Services - Subdimension,Outbreak - Dimension,Outbreak - Subdimension,Health and social consequences,Interventions to control the outbreak,Spread of the outbreak,Health workforce,Socio-economic status
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574115,79401-574115,"Malawian’s default response to crises would thus be recourse to religion (traditional and new), and in this day and age when American-style- tele-evangelicalism rules, church and other religious gatherings are the default place of refuge. As such, to say that religious gatherings are not essential services is to misconstrue the culture and mores of Malawian society and the place and role of religion in times of crisis.","Malawian’s default response to crises would thus be recourse to religion (traditional and new), and in this day and age when American-style- tele-evangelicalism rules, church and other religious gatherings are the default place of refuge. As such, to say that religious gatherings are not essential services is to misconstrue the culture and mores of Malawian society and the place and role of religion in times of crisis.",Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,16-04-2020,Medium,,,Disease,Covid-19,Increase,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574114,79401-574114,religion is not included in the catalog (such as there was) of essential services.,religion is not included in the catalog (such as there was) of essential services.,Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,16-04-2020,Medium,,,Disease,Covid-19,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574114,79401-574114,religion is not included in the catalog (such as there was) of essential services.,religion is not included in the catalog (such as there was) of essential services.,Factors,Religion and dominant beliefs,Unspecified/General population,,,,,Malawi,Malawi,,,,,16-04-2020,Medium,,,Response,Government measures,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574110,79401-574110,"Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.","Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.",Factors,Social organisation and administrative structure,,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Disease,Covid-19,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574110,79401-574110,"Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.","Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.",Factors,Livelihoods and economic relations,,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Disease,Covid-19,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574110,79401-574110,"Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.","Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.",Factors,Social organisation and administrative structure,,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Response,Government measures,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574110,79401-574110,"Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.","Therefore, the decree would make sense to the low-density area resident who is also in paid employment and not the villager and the slum dweller whose very existence is adversely affected.",Factors,Livelihoods and economic relations,,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Response,Government measures,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574109,79401-574109,"The decree, therefore, also highlighted the rich and poor divide in the population.","The decree, therefore, also highlighted the rich and poor divide in the population.",,,Unspecified/General population,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574109,79401-574109,"The decree, therefore, also highlighted the rich and poor divide in the population.","The decree, therefore, also highlighted the rich and poor divide in the population.",,,Unspecified/General population,,,,,Malawi,Malawi,,,,,,Medium,,,Response,Government measures,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574108,79401-574108,"In the Malawi context, subsistence farming is an essential business, and so is the small business informal sector.","In the Malawi context, subsistence farming is an essential business, and so is the small business informal sector.",Factors,Livelihoods and economic relations,Rural,,,,,Malawi,Malawi,,,,,,Medium,,,Disease,Covid-19,Neutral,Neutral,Neutral,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574107,79401-574107,"Given that most of the population are subsistence farmers, this decree impacted most of the population (85% of the population are subsistence farmers, and only 10% are gainfully employed).","Given that most of the population are subsistence farmers, this decree impacted most of the population (85% of the population are subsistence farmers, and only 10% are gainfully employed).",Factors,Livelihoods and economic relations,Rural,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Disease,Covid-19,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574107,79401-574107,"Given that most of the population are subsistence farmers, this decree impacted most of the population (85% of the population are subsistence farmers, and only 10% are gainfully employed).","Given that most of the population are subsistence farmers, this decree impacted most of the population (85% of the population are subsistence farmers, and only 10% are gainfully employed).",Factors,Livelihoods and economic relations,Rural,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Response,Government measures,Increase,Neutral,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574106,79401-574106,All non-essential services or businesses were suspended,All non-essential services or businesses were suspended,Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Disease,Covid-19,Increase,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574106,79401-574106,All non-essential services or businesses were suspended,All non-essential services or businesses were suspended,Factors,Livelihoods and economic relations,Unspecified/General population,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Response,Government measures,Increase,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574057,79401-574057,"On 14 April 2020, the minister announced a planned nationwide lockdown to run from 18 April 2020 to 9 May 2020 (Mhango 2020).","On 14 April 2020, relying on the powers under this Act, the minister announced a planned nationwide lockdown to run from 18 April 2020 to 9 May 2020 (Mhango 2020). This lockdown entailed con?nement to one’s place of residence unless in exceptional circumstances where one was to perform, provide, or access essential services. These essential services could only be obtained within one’s locality of residence.",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Disease,Covid-19,Decrease,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574057,79401-574057,"On 14 April 2020, the minister announced a planned nationwide lockdown to run from 18 April 2020 to 9 May 2020 (Mhango 2020).","On 14 April 2020, relying on the powers under this Act, the minister announced a planned nationwide lockdown to run from 18 April 2020 to 9 May 2020 (Mhango 2020). This lockdown entailed con?nement to one’s place of residence unless in exceptional circumstances where one was to perform, provide, or access essential services. These essential services could only be obtained within one’s locality of residence.",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,14-04-2020,Medium,,,Response,Government measures,Decrease,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574056,79401-574056,"On 20 March 2020, the then President made a declaration of a state of national disaster (Mutharika 2020). This declaration appeared on 3 April 2020. This declaration was valid for three months and expired on 20 June 2020.","On 20 March 2020, the then President made a declaration of a state of national disaster (Mutharika 2020). This declaration appeared on 3 April 2020. This declaration was valid for three months and expired on 20 June 2020.",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,20-03-2020,Medium,,,Disease,Covid-19,Neutral,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574056,79401-574056,"On 20 March 2020, the then President made a declaration of a state of national disaster (Mutharika 2020). This declaration appeared on 3 April 2020. This declaration was valid for three months and expired on 20 June 2020.","On 20 March 2020, the then President made a declaration of a state of national disaster (Mutharika 2020). This declaration appeared on 3 April 2020. This declaration was valid for three months and expired on 20 June 2020.",Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,20-03-2020,Medium,,,Response,Government measures,Neutral,Enable,Discourage,,
26-03-2021,Delphyne de Peretti,04-05-2022,Uncontrolled,79401,Zimitsani Moto: Understanding the Malawi COVID-19 Response,https://prod-api.thedeep.io/private-file/a47fa86c-63d3-424e-80d7-4f09d5754f89/laws-10-00020.pdf,,,Multidisciplinary Digital Publishing Institute,Low,Delphyne de Peretti,574055,79401-574055,Malawi experienced a transition of power when the nation’s general elections were contested and rerun. The new government created a COVID-19 of?ce in the Of?ce of the President and Cabinet on 14 July 2020.,Malawi experienced a transition of power when the nation’s general elections were contested and rerun. The new government created a COVID-19 of?ce in the Of?ce of the President and Cabinet on 14 July 2020.,Factors,Political context and social movements,Unspecified/General population,,,,,Malawi,Malawi,,,,,14-07-2020,Medium,,,Disease,Covid-19,Increase,Hinder,Facilitate,,
