,iso3,admin_level_1,indicator_id,subvariable,question,indicator_value,nominator,denominator,gender,age_group,age_info,target_group,area,indicator_date,indicator_matching,error_margin,representativeness,limitation,indicator_comment,source_id,interpolated,insert_date,publish,indicator_month,indicator_name,dimension,variable,indicator_type,indicator_publish,country_name,region,display_in_tableau,income_group,fragility_index_fund_for_peace,organisation,title,details,authors,methodology,sample_size,target_pop,scale,quality_check,access_type,source_comment,publication_channel,link,source_date,key_words,source_status,frequency,sample_type,population_size,category
16,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.214217,10.0,45.0,All,All,Unspecified,Unspecified,All,2021-06-01,Partial,0.14907119849998599,Acceptable,"Facebook users only, Extremely limited sample size",,S112,0,2021-12-11 18:48:53,1,2021-06-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Global
17,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.229721,17.0,74.0,All,All,Unspecified,Unspecified,All,2021-07-01,Partial,0.11624763874381928,Acceptable,"Facebook users only, Limited sample size",,S112,0,2021-12-11 20:12:41,1,2021-07-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Global
18,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.228645,11.0,46.0,All,All,Unspecified,Unspecified,Urban,2021-07-01,Partial,0.14744195615489714,Acceptable,"Facebook users only, Extremely limited sample size",,S112,0,2021-12-11 20:12:41,1,2021-07-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,,Urban
19,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.312286,28.0,89.0,All,All,Unspecified,Unspecified,All,2021-08-01,Partial,0.105999788000636,Acceptable,"Facebook users only, Limited sample size",,S112,0,2021-12-12 09:55:38,1,2021-08-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Global
20,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.297292,17.0,57.0,All,All,Unspecified,Unspecified,Urban,2021-08-01,Partial,0.13245323570650439,Acceptable,"Facebook users only, Limited sample size",,S112,0,2021-12-12 09:55:38,1,2021-08-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,,Urban
21,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.258177,14.0,55.0,All,All,Unspecified,Unspecified,All,2021-09-01,Partial,0.13483997249264842,Acceptable,"Facebook users only, Limited sample size",,S112,0,2021-12-12 10:59:31,1,2021-09-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Global
22,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.191201,11.0,59.0,All,All,Unspecified,Unspecified,All,2021-10-01,Partial,0.13018891098082389,Acceptable,"Facebook users only, Limited sample size",,S112,0,2021-12-12 11:52:27,1,2021-10-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Global
23,ZWE,National,INF001,Evolution,,0.334151,,,All,All,Unspecified,Unspecified,All,2021-11-01,Partial,0.20116640627384186,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:12,1,2021-11-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
24,ZWE,National,INF001,Evolution,What COVID-19 topics do you want more information about? - Variants of COVID-19 (also known as coronavirus mutations),0.477101,20.0,42.0,All,All,Unspecified,Unspecified,All,2021-12-01,Partial,0.1543033499620919,Acceptable,"Facebook users only, Extremely limited sample size",,S112,0,2022-01-04 14:07:00,1,2021-12-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Global
25,ZWE,National,INF001,Treatment,What COVID-19 topics do you want more information about? - Treatment of COVID-19,0.473301,21.0,45.0,All,Adult,25-54,Unspecified,All,2021-07-01,Partial,0.14907119849998599,Acceptable,"Facebook users only, Extremely limited sample size",,S112,0,2021-12-11 20:12:08,1,2021-07-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,University of Maryland,COVID-19 World Survey Data API,"This is an API for accessing the daily COVID-19 World Symptoms Survey data. Data calculated based on the Facebook global symptoms survey data. Using the survey data, we estimate the percentage of people in a given country or region. ","Junchuan Fan, Yao Li, Kathleen Stewart, Anil R. Kommareddy, Adrianne Bradford, Samantha Chiu, Frauke Kreuter, Neta Barkay, Alyssa Bilinski, Brian Kim, Roee Eliat, Tal Galili, Daniel Haimovich, Sarah LaRocca, Stanley Presser, Katherine Morris, Joshua A Salomon, Elizabeth A. Stuart, Ryan Tibshirani, Tali Alterman Barash, Curtiss Cobb, Andres Garcia, Andi Gros, Ahmed Isa, Alex Kaess, Faisal Karim, Ofir Eretz Kedosha, Shelly Matskel, Roee Melamed, Amey Patankar, Irit Rutenberg, Tal Salmona, David Vannette",Misc.,,,Multi-country,Peer-review,Dataset,,University of Maryland,https://covidmap.umd.edu/api.html,2020-06-01,vaccination|protection measures|trust,Processed,monthly,Panel-based sample,14862924.0,Adult
26,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-03-01,Partial,0.596284806728363,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-03-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
27,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-04-01,Partial,0.5773502588272095,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-04-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
28,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-05-01,Partial,0.5577733516693115,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-05-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
29,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-06-01,Partial,0.5374838709831238,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-06-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
30,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-07-01,Partial,0.5163977742195129,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-07-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
31,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-08-01,Partial,0.49441322684288025,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-08-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
32,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-09-01,Partial,0.4714045226573944,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-09-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
33,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-10-01,Partial,0.4472135901451111,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-10-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
34,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-11-01,Partial,0.42163702845573425,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-11-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
35,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2020-12-01,Partial,0.3944053053855896,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2020-12-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
36,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2021-01-01,Partial,0.3651483654975891,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2021-01-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
37,ZWE,National,INF001,Treatment,,0.209866,,,All,All,Unspecified,Unspecified,All,2021-02-01,Partial,0.3333333432674408,Acceptable,Interpolation,interpolation,S000,1,2022-04-07 21:10:11,1,2021-02-01,Percentage of individuals who seek information about COVID-19 on a weekly basis,Information,Demand,Core indicator,Y,Zimbabwe,ESAR,Y,Lower middle income,Extremely Fragile,Interpolation,Interpolation,,,,,,,,,,,,,,,,,14862924.0,Global
